Bundesland;Name der Institution;Ort;Einrichtungsart;Trägerschaft Hochschulkompass;OA-Webseite der Institution;OA-Webseite der Institution URL;OA-Beauftragte*r;OA-Beauftragte*r Name;OA-Beauftragte*r URL;OA-Beauftragte*r Quelle URL;Ansprechperson für OA;Ansprechperson für OA URL;(Funktions-)Emailadresse;OA Policy;OA Policy Datum2;OA Policy URL;OA-Strategie;OA-Strategie Datum;OA-Strategie URL;OS Policy;OS Policy Datum;OS Policy URL;Zs. Publikationsfonds;Zs. Publikationsfonds URL;Mono. Publikationsfonds;Mono. Publikationsfonds URL;Repositorium;Repositorium URL;Repositorium andere URL;OA-Verlag;OA-Verlag URL;OJS-Standort;OJS-Standort URL;OA-/OS-Preis;OA-/OS-Preis Kategorie;OA-/OS-Preis URL;Berliner Erklärung;Datum Unterzeichnung Berliner Erklärung;OA2020 Expression of Interest;DORA Institution;Jussieu- Appell;Bearbeiter*in;aktualisiert am;Name (Website Ministerium);Affiliation ROR;ROR ID;GRID ID;Wikidata ID;URL Webseite Institution
Nordrhein-Westfalen;Deutsches Institut für Entwicklungspolitik gGmbH (DIE);Bonn;Ressortforschung;NA;ja;https://www.die-bonn.de/institut/dienstleistungen/publikationen/texte-online.aspx;ja;Dr. Thomas Jung;https://www.die-bonn.de/institut/dienstleistungen/publikationen/texte-online.aspx;NA;ja;https://www.die-bonn.de/institut/dienstleistungen/publikationen/texte-online.aspx;thomas.jung@die-bonn.de;ja;2015;https://www.die-bonn.de/institut/dienstleistungen/publikationen/oa_policy.aspx;Recherche fehlt;Recherche fehlt;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;https://www.die-bonn.de/institut/dienstleistungen/publikationen/texte-online.aspx;ja;https://www.die-bonn.de/institut/dienstleistungen/publikationen/texte-online.aspx;ja;https://www.die-bonn.de/weiterbildung/literaturrecherche/suchfunktion_diespace.aspx;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;nein;nein;nein;AW, SK;2021-06-06T22:00:00Z;NA;NA;https://ror.org/01t3zke88;grid.473589.4;Q317284;https://www.die-gdi.de
Berlin;Charité - Universitätsmedizin Berlin;Berlin;Universität;öffentlich-rechtlich;ja;https://bibliothek.charite.de/publizieren/open_access/;ja;Jenny Delasalle;https://bibliothek.charite.de/metas/person/person/address_detail/delasalle/;NA;ja;https://bibliothek.charite.de/publizieren/open_access/;openaccess[at]charite[?dot]de;nein;NA;NA;nein;NA;NA;nein;NA;NA;ja;https://bibliothek.charite.de/publizieren/publikationsfonds/;nein;NA;andere;NA;https://refubium.fu-berlin.de/;nein;NA;nein;NA;ja;Open Data, Präregistirierung;https://www.bihealth.org/de/translation/innovationstreiber/quest-center/ausschreibungen-und-preise#c19789;ja;2018-05-23T00:00:00Z;nein;nein;nein;LM;02.06.2022;Charité - Universitätsmedizin Berlin;Charité - University Medicine Berlin;https://ror.org/001w7jn25;grid.6363.0;Q162684;https://www.charite.de/
Thüringen;Fraunhofer-Institut für Angewandte Optik und Feinmechanik (IOF);Jena;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-28T22:00:00Z;Fraunhofer-Institut für Angewandte Optik und Feinmechanik (IOF);NA;https://ror.org/02afjh072;grid.418007.a;Q1451992;https://www.iof.fraunhofer.de/
Thüringen;Fraunhofer-Institut für Digitale Medientechnologie (IDMT);Ilmenau;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-28T22:00:00Z;Fraunhofer-Institut für Digitale Medientechnologie (IDMT);NA;https://ror.org/04gp0yb49;grid.469861.4;Q1451997;https://www.idmt.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Physikalische Messtechnik (IPM);Freiburg;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Physikalische Messtechnik (IPM);NA;https://ror.org/004n2nr09;grid.461631.7;Q1118809;https://www.ipm.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Angewandte Festkörperphysik (IAF);Freiburg;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Angewandte Festkörperphysik (IAF);NA;https://ror.org/0083ncs46;grid.424642.2;Q1315154;https://www.iaf.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI);Freiburg;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI);NA;https://ror.org/00csq2k70;grid.461627.0;Q438787;https://www.emi.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik (IGB);Stuttgart;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik (IGB);NA;https://ror.org/0131dra29;grid.469831.1;Q1452007;https://www.igb.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO);Stuttgart;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO);NA;https://ror.org/01nh64743;grid.434477.7;Q1451990;https://www.iao.fraunhofer.de/lang-de/
Baden-Württemberg;Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA;Stuttgart;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA;NA;https://ror.org/01rvqha10;grid.469833.3;Q1452023;https://www.ipa.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut Informationszentrum Raum und Bau (IRB);Stuttgart;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut Informationszentrum Raum und Bau (IRB);NA;https://ror.org/01yrp7892;grid.469872.6;Q1451975;https://irb.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB;Karlsruhe;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB;NA;https://ror.org/01zx97922;grid.466706.5;Q1432182;https://www.iosb.fraunhofer.de
Baden-Württemberg;Fraunhofer-Institut für Solare Energiesysteme (ISE);Freiburg;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Solare Energiesysteme (ISE);NA;https://ror.org/02kfzvh91;grid.434479.9;Q1452037;https://www.ise.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Chemische Technologie (ICT);Pfinztal;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Chemische Technologie (ICT);NA;https://ror.org/03nb1x490;grid.461616.2;Q1452001;https://www.ict.fraunhofer.de
Baden-Württemberg;Fraunhofer-Institut für System- und Innovationsforschung (ISI);Karlsruhe;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für System- und Innovationsforschung (ISI);NA;https://ror.org/03vyq6t71;grid.459551.9;Q1439718;https://www.isi.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Werkstoffmechanik (IWM);Freiburg;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Werkstoffmechanik (IWM);NA;https://ror.org/04hm8eb66;grid.461645.4;Q1452044;https://www.iwm.fraunhofer.de/
Baden-Württemberg;Fraunhofer-Institut für Bauphysik (IBP);Stuttgart;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Bauphysik (IBP);NA;https://ror.org/04y8p0f91;grid.469871.5;Q1451988;https://www.ibp.fraunhofer.de/
Bayern;Fraunhofer-Institut für Integrierte Schaltungen (IIS);Erlangen;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Integrierte Schaltungen (IIS);NA;https://ror.org/024ape423;grid.469823.2;Q835535;https://www.iis.fraunhofer.de/
Bayern;Fraunhofer-Institut für Verfahrenstechnik und Verpackung (IVV);Freising;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Verfahrenstechnik und Verpackung (IVV);NA;https://ror.org/02at7zv53;grid.466709.a;Q1396758;https://www.ivv.fraunhofer.de/
Bayern;Fraunhofer-Institut für Eingebettete Systeme und Kommunikationstechnik (ESK);München;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Eingebettete Systeme und Kommunikationstechnik (ESK);NA;https://ror.org/02fez3815;grid.469865.0;Q1451979;https://www.esk.fraunhofer.de/
Bayern;Fraunhofer-Einrichtung für Mikrosysteme und Festkörper-Technologien (EMFT);München;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Einrichtung für Mikrosysteme und Festkörper-Technologien (EMFT);NA;https://ror.org/02hm5m482;grid.469866.3;Q1451973;https://www.emft.fraunhofer.de/
Bayern;Fraunhofer-Einrichtung für Wertstoffkreisläufe und Ressourcenstrategie IWKS;Alzenau;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Einrichtung für Wertstoffkreisläufe und Ressourcenstrategie IWKS;NA;https://ror.org/02s7vm534;grid.506229.a;Q77075635;https://www.iwks.fraunhofer.de/
Bayern;Fraunhofer-Institut für Angewandte und Integrierte Sicherheit (AISEC);Garching;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Angewandte und Integrierte Sicherheit (AISEC);NA;https://ror.org/03w0bbr97;grid.469867.2;Q21725096;https://www.aisec.fraunhofer.de/
Bayern;Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie (IISB);Erlangen;Forschungsorganisation: Fraunhofer-Gesellschaft;NA;ja;https://www.openaccess.fraunhofer.de/;nein;NA;NA;NA;ja;https://irb.fraunhofer.de/de/research-services.html;NA;ja, als FhG;2008;https://www.irbnet.de/daten/download/verlag/Fraunhofer_Open_Access_Policy.pdf;nein;NA;https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;NA;Recherche fehlt;Recherche fehlt;ja;https://www.openaccess.fraunhofer.de/de/fraunhofer-publica.html;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja, als FhG;2003-10-22T00:00:00Z;nein;nein;nein;AW, SK;2021-06-13T22:00:00Z;Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie (IISB);NA;https://ror.org/04q5rka56;grid.469855.3;Q23561231;https://www.iisb.fraunhofer.de/
